Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
La Haine,La Haine,Assassin,Film,Action,1995,Difficile,France,,https://open.spotify.com/intl-fr/track/4HNH7bIAIscir2rVqVi2eV,spotify:track:4HNH7bIAIscir2rVqVi2eV,,FALSE
Another Day Of Sun,La La Land,Justin Hurwitz,Film,"Musical, Romance, Drame",2016,Facile,USA,,https://open.spotify.com/intl-fr/track/5kRBzRZmZTXVg8okC7SJFZ,spotify:track:5kRBzRZmZTXVg8okC7SJFZ,,FALSE
Coffey on the Mile,La Ligne Verte,Thomas Newman,Film,Drame,1999,Difficile,USA,,https://open.spotify.com/intl-fr/track/0itndpPjxQrWj1mDENoKmG,spotify:track:0itndpPjxQrWj1mDENoKmG,,FALSE
I Remember Everything,La mémoire dans la peau,John Powell,Film,"Action, Thriller",2002,Difficile,USA,Jason Bourne,https://open.spotify.com/intl-fr/track/0u1wtlH7iGdwN0nJOH0xbv,spotify:track:0u1wtlH7iGdwN0nJOH0xbv,,FALSE
The Abbey of St. Carta,La None,Abel Korzeniowski,Film,"Horreur, Thriller",2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/2kldtQqiR03TXiTrgPUM1a,spotify:track:2kldtQqiR03TXiTrgPUM1a,,FALSE
Night At The Museum,La Nuit au Musée,Alan Silvestri,Film,Comédie,2006,Moyen,USA,Night At The Museum,https://open.spotify.com/intl-fr/track/1r8Qi1Q8V6l7hpZwmAJ1pL,spotify:track:1r8Qi1Q8V6l7hpZwmAJ1pL,,FALSE
Partir là-bas,La Petite Sirène,Alan Menken,Film,"Animation, Disney",1989,Facile,USA,,https://open.spotify.com/intl-fr/track/2egCuBHjxt1JSWEh2MExPD,spotify:track:2egCuBHjxt1JSWEh2MExPD,,FALSE
I'm Still Here,La Planète au Trésor,James Newton Howard,Film,"Science-Fiction, Animation",2002,Moyen,USA,,https://open.spotify.com/intl-fr/track/6BfOhpHADzrvKN2kMPTMPv,spotify:track:6BfOhpHADzrvKN2kMPTMPv,,FALSE
The Apes Attack,La Planète des Singes,Patrick Doyle,Film,"Science-Fiction, Action",2011,Difficile,USA,,https://open.spotify.com/intl-fr/track/5rtFjgHf6x9Xrx3ZHpJ7Tr,spotify:track:5rtFjgHf6x9Xrx3ZHpJ7Tr,,FALSE
Almost There,La Princesse et la Grenouille,Randy Newman,Film,"Disney, Animation, Musical",2009,Facile,USA,,https://open.spotify.com/intl-fr/track/2GLyruWagsv8o7aGNXboH1,spotify:track:2GLyruWagsv8o7aGNXboH1,,FALSE
"Please, Let Us Take Care Of You",La Purge,Nathan Whitehead,Film,"Horreur, Thriller, Science-Fiction",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/2WbvypSLswtYsrfdBpjLJT,spotify:track:2WbvypSLswtYsrfdBpjLJT,,FALSE
Let It Go,La Reine des Neiges,Kristen Anderson-Lopez,Film,"Animation, Disney, Musical",2013,Facile,USA,Frozen,https://open.spotify.com/intl-fr/track/0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,,FALSE
Perfect Day,La Revanche d'une Blonde,Rolfe Kent,Film,"Comédie, Romance",2001,Difficile,USA,Legally Blonde,https://open.spotify.com/intl-fr/track/426QgPONKcLO1Gg5eTrm57,spotify:track:426QgPONKcLO1Gg5eTrm57,,FALSE
Générique,La soupe au choux,Raymond Lefèvre,Film,Comédie,1981,Facile,France,,https://open.spotify.com/intl-fr/track/6fZSU4LCrgBQq7QIRDHlg7,spotify:track:6fZSU4LCrgBQq7QIRDHlg7,,FALSE
Générique,La Tour Montparnasse Infernale,Alexandre Azaria,Film,Comédie,2001,Difficile,France,,https://open.spotify.com/intl-fr/track/1FIHIp5bOcBWdeyVMi4TP2,spotify:track:1FIHIp5bOcBWdeyVMi4TP2,,FALSE
I Follow Rivers,La Vie d'Adèle,Jean-Paul Hurier,Film,"Romance, Drame",2013,Difficile,France,,https://open.spotify.com/intl-fr/track/6UAgnw2w3AVwLg1p7sE7v4,spotify:track:6UAgnw2w3AVwLg1p7sE7v4,,FALSE
Chinesische StraBenserenade,La Zone d'Intérêt,Mica Levi,Film,"Drame, Histoire",2023,Difficile,UK,Zone of Interest,https://open.spotify.com/intl-fr/track/03XIubr3L4XnN54fOTMWyd,spotify:track:03XIubr3L4XnN54fOTMWyd,,FALSE
Married Life,Là-haut,Michael Giacchino,Film,"Animation, Disney",2009,Facile,USA,Up,https://open.spotify.com/intl-fr/track/7iocNjLrxPHLl8njgRlv5U,spotify:track:7iocNjLrxPHLl8njgRlv5U,,FALSE
"The Good, The Bad and The Ugly","Le Bon, La Brute et le Truand",Ennio Morricone,Film,Western,1966,Facile,USA,"The Good, The Bad and The Ugly",https://open.spotify.com/intl-fr/track/1JSIWsJfxOji0FrxFcxdCK,spotify:track:1JSIWsJfxOji0FrxFcxdCK,,FALSE
The Puss Suite,Le Chat Potté,Henry Jackman,Film,"Comédie, Animation",2011,Moyen,USA,,https://open.spotify.com/intl-fr/track/4zdBd6huRbj7PV4rPPEHFh,spotify:track:4zdBd6huRbj7PV4rPPEHFh,,FALSE
The Merry-Go-Round of Life,Le Château Ambulant,Joe Hisaishi,Film,"Fantasy, Animation",2004,Facile,Asie,,https://open.spotify.com/intl-fr/track/39uLYYZytVUwcjgeYLI409,spotify:track:39uLYYZytVUwcjgeYLI409,,FALSE
The Diva Dance,Le Cinquième Élément,Éric Serra,Film,"Science-Fiction, Comédie, Action",1997,Moyen,France,,https://open.spotify.com/intl-fr/track/5BZAhQYLSqjtF4Xio5MIQd,spotify:track:5BZAhQYLSqjtF4Xio5MIQd,,FALSE
Le Trésor,Le Comte de Monte-Cristo,Jérôme Rebotier,Film,Action,2024,Moyen,France,,https://open.spotify.com/intl-fr/track/38q1JvdUfARWLOwIVT4M71,spotify:track:38q1JvdUfARWLOwIVT4M71,,FALSE
Promentory,Le Dernier des Mohicans,"Trevor Jones, Randy Edelman",Film,"Histoire, Action",1992,Moyen,USA,,https://open.spotify.com/intl-fr/track/0NA8uE9ctlsQYeiyGKN5LO,spotify:track:0NA8uE9ctlsQYeiyGKN5LO,,FALSE
Suite,Le Diable s'Habille en Prada,Theodore Shapiro,Film,"Comédie, Drame",2006,Difficile,USA,,https://open.spotify.com/intl-fr/track/02yTlyKZCUUMbqLB3aZALy,spotify:track:02yTlyKZCUUMbqLB3aZALy,,FALSE
Dîner de cons,Le Dîner de Cons,Vladimir Cosma,Film,Comédie,1998,Difficile,France,,https://open.spotify.com/intl-fr/track/4b35L8fDt6UzWFr5BLJGB4,spotify:track:4b35L8fDt6UzWFr5BLJGB4,,FALSE
"Comptine d’un autre été, l'après-midi",Le Fabuleux Destin d'Amélie Poulain,Yann Tiersen,Film,"Romance, Comédie, Drame",2001,Facile,France,,https://open.spotify.com/intl-fr/track/14rZjW3RioG7WesZhYESso,spotify:track:14rZjW3RioG7WesZhYESso,,FALSE
The Funeral,Le Garçon au Pyjama Rayé,James Horner,Film,"Histoire, Drame",2008,Difficile,UK,,https://open.spotify.com/intl-fr/track/6IslONRD05b305hVGqC3u1,spotify:track:6IslONRD05b305hVGqC3u1,,FALSE
Marche des gendarmes,Le Gendarme de Saint-Tropez,Raymond Lefèvre,Film,Comédie,1964,Moyen,France,,https://open.spotify.com/intl-fr/track/22s3wC3VxEzNGcp8AFb8qa,spotify:track:22s3wC3VxEzNGcp8AFb8qa,,FALSE
Ouverture,Le Grand Bleu,Éric Serra,Film,Drame,1988,Moyen,France,,https://open.spotify.com/intl-fr/track/3A5l6QS6oJEWrL9sSN3l2c,spotify:track:3A5l6QS6oJEWrL9sSN3l2c,,FALSE
You're A Mean One Mr. Grinch,Le Grinch,James Horner,Film,Comédie,2000,Moyen,USA,,https://open.spotify.com/intl-fr/track/68yEkB07iP5ZYlo7CuT0ae,spotify:track:68yEkB07iP5ZYlo7CuT0ae,,FALSE
Générique,Le Jouet,Vladimir Cosma,Film,Comédie,1976,Difficile,France,,https://open.spotify.com/intl-fr/track/39myANuatI3TvE0Ybt5tr4,spotify:track:39myANuatI3TvE0Ybt5tr4,,FALSE
Out of Reach,Le Journal de Bridget Jones,Patrick Doyle,Film,"Comédie, Romance",2001,Moyen,UK,,https://open.spotify.com/intl-fr/track/545iHxHQ94veXEiMNAXmUm,spotify:track:545iHxHQ94veXEiMNAXmUm,,FALSE
Pan's Labyrinth Lullaby,Le Labyrihthe de Pan,Javier Navarrete,Film,Fantasy,2006,Difficile,USA,Pan's Labyrinth,https://open.spotify.com/intl-fr/track/4lKFXSXc1ZpavjZpcR42GC,spotify:track:4lKFXSXc1ZpavjZpcR42GC,,FALSE
The Maze Runner,Le Labyrinthe,John Paesano,Film,"Science-Fiction, Action",2014,Difficile,USA,Maze Runner,https://open.spotify.com/intl-fr/track/1NwdCBWf8lK3U0E0NOev6G,spotify:track:1NwdCBWf8lK3U0E0NOev6G,,FALSE
Être un homme comme vous,Le Livre de la Jungle,Terry Gilkyson,Film,"Animation, Disney",1967,Facile,USA,,https://open.spotify.com/intl-fr/track/5XTZe496tBMKKX4uDrLmQQ,spotify:track:5XTZe496tBMKKX4uDrLmQQ,,FALSE
